epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6098545,1.0028034820852616,0.001,0.71399784,0.6847810825305198
1,0.7524873,0.5904805148786009,0.001,0.7782239,0.5294041899221538
2,0.7855212,0.5214825399507704,0.001,0.82710874,0.43000662123470673
3,0.8833111,0.30780576819055766,0.001,0.9412345,0.18503853789906002
4,0.9444364,0.15920768354817946,0.001,0.9618678,0.11351222978599036
5,0.95643353,0.1198437012920897,0.001,0.9646354,0.1003984515028976
6,0.95917696,0.1103151175393168,0.001,0.9681748,0.08909150757896367
7,0.95244515,0.12855877030929438,0.001,0.93275905,0.1746335054384366
8,0.95489717,0.11999370020568667,0.001,0.9680661,0.08831748704729812
9,0.9635077,0.09714679042081702,0.001,0.9692068,0.0841802121447856
10,0.9652549,0.09207705165453924,0.001,0.9696525,0.08254257138413407
11,0.9662845,0.08914558165299613,0.001,0.9700682,0.08071603859538462
12,0.9670727,0.08687582174816902,0.001,0.9707548,0.07868674462601574
13,0.96777374,0.08498274491871739,0.001,0.97044563,0.07907949565951504
14,0.9684056,0.08353483400492272,0.001,0.971145,0.07723908301101311
15,0.9687299,0.08234759833724599,0.001,0.9714243,0.07655420851732876
16,0.96897894,0.08185548199928928,0.001,0.97050107,0.0783521760660194
17,0.96949583,0.08062261151486566,0.001,0.97158635,0.07591741581334234
18,0.969769,0.07966554807390937,0.001,0.9707655,0.07756552564055681
19,0.96998036,0.07884010534183698,0.001,0.971806,0.0751044899225235
20,0.970439,0.07785341588418875,0.001,0.97198296,0.07448334008582365
21,0.9706131,0.0773544381051599,0.001,0.97216845,0.07375972082556438
22,0.9708443,0.07674806120941577,0.001,0.97166526,0.07482807651193919
23,0.97097725,0.0764006642552807,0.001,0.9723603,0.07342084759334003
24,0.97093767,0.07631871731211805,0.001,0.9720789,0.07363529921149903
25,0.9715134,0.07515645684315621,0.001,0.97268444,0.07250324411115158
26,0.9716034,0.07485010148902212,0.001,0.97253305,0.07269524373034679
27,0.971625,0.07478735632214804,0.001,0.97202986,0.07378754866466339
28,0.9718593,0.07417811529419202,0.001,0.97254586,0.07277632661973998
29,0.97200924,0.07362480340686575,0.001,0.9726695,0.07221859936584542
